,population,children,age,income,outage_sec_perweek,email,contacts,Yearly_equip_failure,tenure,MonthlyCharge,DummyTechie,DummyTechSupport,DummyMale,DummyFemale,DummyNonbinary
8239,1537,1,24,18336.35,9.438457,14,2,0,57.06365,195.0062,0,1,0,1,0
7105,3526,3,62,47626.87,14.30092,13,2,0,44.13783,95.01949,0,0,1,0,0
5176,722,7,46,26013.93,6.213658,9,0,0,66.76084,162.5007,0,1,0,1,0
5681,1144,2,48,39445.97,10.97816,12,1,0,57.49365,142.4713,1,1,0,1,0
6493,16681,0,43,1943.56,12.1873,7,2,0,59.92546,147.4421,1,0,1,0,0
1750,170,1,62,79432.6,9.985414526,13,1,0,6.820250541,187.642236,1,1,1,0,0
7217,2029,1,86,18584.57,1.556499,16,0,0,49.6365,137.4872,1,1,1,0,0
4009,153,1,52,7019.0,6.239127,10,1,0,2.235315,149.9778,0,1,1,0,0
3547,637,2,85,28965.11,11.99308,13,0,0,1.453022,120.0049,0,1,0,1,0
2972,949,3,40,35849.72,14.35913,9,1,0,10.29318,137.5165,0,1,1,0,0
5958,3284,9,36,38900.92,11.35226,7,1,0,39.54414,149.9707,1,1,1,0,0
3386,8979,0,80,25281.46,9.029372,13,0,0,10.90461,209.9931,0,1,0,1,0
6529,6917,4,42,6790.51,11.00941,16,1,0,60.53871,127.482,0,1,1,0,0
5700,14744,0,20,94995.33,7.957,11,1,0,70.62907,127.475,0,1,0,1,0
4539,239,4,43,14233.75,8.080637,5,4,1,8.592449,137.4616,0,0,0,1,0
9111,56641,8,55,51059.78,9.143203,17,1,0,52.3927,137.4392,0,0,1,0,0
6981,8596,0,43,6993.43,4.757981,14,1,2,57.69823,192.4404,0,0,1,0,0
6517,2295,0,62,60981.45,11.4928,11,1,0,64.02167,242.6326,0,0,0,1,0
6847,1174,2,58,5003.87,11.14927,5,1,1,65.0113,139.9568,0,0,1,0,0
8710,353,1,20,4824.09,3.049819,3,1,2,48.20556,117.472,0,1,1,0,0
1801,2109,3,79,37198.61,8.294166484,12,0,0,7.775144828,242.610632,1,0,1,0,0
6886,1144,0,24,65243.76,10.70987,7,1,0,66.52106,182.447,1,1,0,1,0
9654,12895,1,23,70968.23,3.504693,14,0,1,66.969,184.9496,0,1,1,0,0
1929,3282,5,85,68237.79,5.638490484,13,0,0,22.37864487,124.960655,0,0,0,1,0
3705,939,8,41,60834.36,8.31138,8,0,0,9.19773,142.5007,0,1,0,1,0
4372,15059,2,66,31680.85,6.006855,8,0,0,19.30476,215.1591,0,1,1,0,0
1008,2043,0,63,33323.68,8.449531886,20,1,0,22.11524673,172.456745,0,1,1,0,0
5419,346,0,65,34869.71,10.62745,15,3,0,66.09752,144.9607,0,0,1,0,0
8273,7263,0,65,18833.25,9.430403,15,1,1,52.95508,235.1884,0,1,0,1,0
9393,8284,2,51,3710.56,7.786296,13,0,2,65.15995,172.4555,0,0,1,0,0
2246,6976,1,18,36555.15,10.8684,14,2,1,7.533801,172.5034,0,1,1,0,0
9794,22825,3,31,40952.09,4.364411,10,1,0,70.65475,172.4404,1,0,0,1,0
4895,7570,3,57,33055.59,8.318932,9,0,0,6.597117,142.4526,1,0,0,1,0
5415,37646,2,60,9801.15,11.34653,12,3,1,66.04097,222.6362,0,1,0,1,0
3712,3892,0,30,7141.05,15.96237,15,0,0,7.2247,164.9889,0,1,1,0,0
2363,12404,3,80,29367.86,10.45028,17,1,0,14.80365,164.9647,0,1,1,0,0
1754,3929,3,87,53591.84,7.587447184,9,1,1,7.860641328,242.610632,0,0,0,1,0
4526,422,0,59,15840.4,7.194451,13,1,0,1.692565,154.9755,0,0,1,0,0
3627,2491,9,55,35693.42,11.95533,11,0,0,3.048345,144.9607,1,0,0,1,0
