,tenure,MonthlyCharge,DummyTechie,DummyGender,DummyTechSupport
1848,1.360201959,204.963371,1,1,0
2779,12.95415,137.4684,0,1,0
2601,8.437873,82.49655,0,1,0
9957,71.71958,187.6094,0,0,0
8455,67.39064,255.1665,0,1,1
8393,70.99616,114.9658,0,1,0
8783,40.53237,134.9509,0,0,0
8614,41.36314,255.1417,0,1,1
8766,45.66396,147.4783,1,0,0
7085,59.65149,129.9598,0,1,0
2246,7.533801,172.5034,0,1,1
2643,4.310974,240.1149,0,0,0
3980,5.614935,144.9607,0,1,0
1542,11.71308191,160.00128,0,1,0
6478,68.3716,172.4705,0,0,0
7833,71.5701,187.656,0,1,0
5063,70.34008,117.4858,0,0,0
7249,70.09511,197.4725,0,0,1
2587,11.64744,162.4827,0,1,0
1315,9.141192423,129.976324,0,0,0
2341,9.584536,149.9776,1,0,1
2511,10.52249,159.9349,0,1,0
4894,6.994401,147.4738,0,1,0
6094,58.62812,162.4526,0,1,0
1768,15.12166154,149.99153,0,0,0
9080,62.84987,172.4441,0,0,1
3049,17.29281,172.4885,0,0,1
6014,49.22913,265.147,1,0,1
3008,5.787415,169.9378,0,1,0
7052,69.87869,127.4958,0,0,0
2053,8.082833,149.9776,1,0,1
7106,70.8569,139.965,0,0,0
2801,8.316193,127.4887,1,0,0
6347,67.95345,242.6106,0,0,0
1466,4.002381804,114.983787,0,0,1
7141,62.50474,124.9607,0,1,0
7434,63.70026,160.0013,0,1,0
1790,6.766267697,207.638588,0,0,0
9263,50.97885,149.9598,0,1,0
2932,22.38582,157.4836,0,1,0
6490,68.47895,277.6375,0,1,1
9239,69.82047,202.4433,0,0,0
2538,15.02441,104.9629,0,0,0
8041,53.62757,267.6647,1,0,1
2519,8.113307,149.9776,0,1,1
9141,66.80646,114.9509,0,0,0
3525,2.293413,124.9781,0,0,0
8202,44.97817,149.9447,0,0,0
7324,52.09557,104.9781,0,1,0
7985,46.076,92.5018,0,0,0
7630,68.526,139.9875,1,1,1
8326,44.24001,172.4404,0,1,0
1346,7.912612583,187.484705,0,1,1
1750,6.820250541,187.642236,1,1,1
3662,7.863565,127.5112,0,0,1
3099,16.17631,152.4624,0,1,0
9657,63.48022,197.4702,0,0,1
686,9.586248224,149.937833,0,0,0
4925,14.13869,240.1149,0,1,0
5000,41.88907,169.9741,1,0,0
8939,65.71805,137.4392,0,0,0
6221,51.06149,164.9785,1,1,0
5812,50.98192,169.9378,0,0,0
9520,66.89696,147.4783,0,1,0
7047,71.89739,194.9699,0,0,1
2309,5.885148,179.9476,1,0,0
9310,66.75755,117.4858,0,0,0
832,7.542749465,184.971516,0,1,1
8395,63.88028,207.4673,0,1,1
7269,70.54943,162.4982,1,1,1
3689,7.490867,182.497,0,0,0
1682,10.85865384,245.128318,0,0,0
6944,55.62125,134.9801,0,0,0
6232,66.81556,147.4783,0,1,0
7032,71.63589,139.9792,1,1,0
3376,9.091454,187.4847,0,0,1
5314,60.11333,235.1417,0,0,1
8907,63.20833,174.9768,0,0,1
2746,16.57284,204.9634,0,1,0
1835,16.00167972,149.974105,0,1,0
9305,69.2394,162.447,0,0,1
8977,46.15653,117.4858,0,1,0
8434,65.25348,137.4686,0,0,0
5371,47.99369,152.466,0,1,1
7153,68.62845,92.45514,0,0,0
7810,58.13967,152.4579,1,0,0
4440,14.47965,192.4404,0,1,0
5852,40.76616,184.9963,1,1,1
6470,68.03515,187.4673,1,1,1
7851,64.62103,227.4754,0,0,1
264,14.96503088,225.145743,0,1,0
3969,15.37432,129.9598,0,0,0
2625,8.03514,114.9728,1,0,0
4528,4.18206,127.4421,0,1,0
4792,9.553951,204.961,0,0,0
7079,61.03116,94.97283,1,0,0
2510,8.386909,147.4601,0,0,1
3232,4.527649,139.9512,0,1,1
8688,66.27257,194.9699,0,0,1
7556,61.88348,182.4433,0,1,0
5567,41.8312,187.6094,0,1,0
7234,68.61879,182.49,0,0,0
9752,62.55977,275.1198,0,0,1
9682,52.90819,184.9496,0,0,1
1706,2.160066882,147.442069,1,1,0
2252,15.13792,182.4433,0,0,0
8431,69.36684,165.0113,1,0,1
5992,36.05308,242.6573,0,1,0
6266,63.52047,182.447,0,0,1
8832,70.77383,147.4601,0,0,1
1048,2.017579009,142.485486,0,0,1
5353,56.83549,222.6362,0,0,1
8805,69.12212,179.9476,0,1,0
635,9.126959742,154.991856,0,1,1
3633,1.273256,245.1612,0,1,1
7162,69.35044,179.9794,1,0,0
5444,57.74783,147.4421,1,1,0
6108,55.42423,107.4958,0,1,0
1868,7.32906366,190.12704,0,0,0
4120,11.72569,147.4738,1,1,0
3833,7.413447,257.6549,0,0,1
6728,58.83979,149.9598,1,0,0
7671,48.3857,149.9741,0,0,0
6349,66.67669,202.4433,0,0,0
9254,70.10448,149.9378,0,0,0
2378,2.992589,104.9643,0,1,1
8605,68.52272,159.9512,0,0,1
1566,11.45756486,127.478341,0,1,0
6405,64.78357,157.4698,0,0,1
2097,11.50316,232.6378,0,1,0
4685,4.527148,230.1344,0,0,0
8822,71.07998,222.6792,1,1,0
8932,63.6336,255.1372,0,1,1
647,7.748370205,187.656013,0,1,0
6521,42.82228,137.4686,0,0,0
5790,70.17488,192.4404,0,1,0
3784,9.345696,202.6829,1,1,1
2287,5.596602,164.967,0,0,1
